record_id,paper_id,sample_label,particle_grade,particle_true_density_g_cc,particle_volume_fraction,measured_density_g_cc,modulus_mpa,strength_mpa,strain_rate_per_s,E_mt_mpa,E_ds_mpa,E_hs_lo_mpa,E_hs_hi_mpa,rel_err_mt_pct,inside_hs_band,E_mt_grade_matched_mpa,rel_err_grade_matched_pct
W3162570773-000,W3162570773,NSF,3M S60HS,0.6,0.3,0.953,1170.0,97.2,0.00417,3696.112255038814,3706.4095714821674,3696.112255038814,3766.3226910983635,215.90703034519777,False,3993.619919445348,241.33503585002975
W2900342134-009,W2900342134,S38-S32-S32-S38,"3M Scotchlite S32/S38 glass microballoons, layer sequence S38-S32-S32-S38 (each layer 60 vol% microballoons)",,0.6,0.6386000000000001,1930.0,61.9,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,135.0335190065046,False,,
W2900342134-008,W2900342134,S32-S38-S38-S32,"3M Scotchlite S32/S38 glass microballoons, layer sequence S32-S38-S38-S32 (each layer 60 vol% microballoons)",,0.6,0.6357,1918.0,61.19,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,136.50401026201976,False,,
W2900342134-007,W2900342134,K46-S22-S22-K46,"3M Scotchlite K46/S22 glass microballoons, layer sequence K46-S22-S22-K46 (each layer 60 vol% microballoons)",,0.6,0.6386000000000001,1826.0,54.72,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,148.41987496306348,False,,
W2900342134-006,W2900342134,S22-K46-K46-S22,"3M Scotchlite K46/S22 glass microballoons, layer sequence S22-K46-K46-S22 (each layer 60 vol% microballoons)",,0.6,0.6415,1842.0,55.11,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,146.2620476018208,False,,
W2900342134-005,W2900342134,Plain Foam (non-gradient syntactic foam of similar density),"3M Scotchlite glass microballoons (plain, single-layer foam of similar density to the IFGSFs; type not stated)",,0.6,,585.7,47.9,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,674.4829975799111,False,,
W2900342134-002,W2900342134,S32-S38-S38-S32,"3M Scotchlite S32/S38 glass microballoons, layer sequence S32-S38-S38-S32 (each layer 60 vol% microballoons)",,0.6,0.622,795.0,60.34,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,470.5845178396905,False,,
W2900342134-003,W2900342134,S38-S32-S32-S38,"3M Scotchlite S32/S38 glass microballoons, layer sequence S38-S32-S32-S38 (each layer 60 vol% microballoons)",,0.6,0.628,783.9,60.89,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,478.6639771431993,False,,
W2900342134-010,W2900342134,K46-S38-S32-S22,"3M Scotchlite K46/S22/S32/S38 glass microballoons, layer sequence K46-S38-S32-S22 (each layer 60 vol% microballoons)",,0.6,0.6402,1920.0,57.01,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,136.25765191799684,False,,
W2900342134-001,W2900342134,K46-S22-S22-K46,"3M Scotchlite K46/S22 glass microballoons, layer sequence K46-S22-S22-K46 (each layer 60 vol% microballoons)",,0.6,0.623,722.7,42.72,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,527.6666551578163,False,,
W2900342134-000,W2900342134,S22-K46-K46-S22,"3M Scotchlite K46/S22 glass microballoons, layer sequence S22-K46-K46-S22 (each layer 60 vol% microballoons)",,0.6,0.627,703.3,42.54,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,544.9803663906638,False,,
W2900342134-004,W2900342134,K46-S38-S32-S22,"3M Scotchlite K46/S22/S32/S38 glass microballoons, layer sequence K46-S38-S32-S22 (each layer 60 vol% microballoons)",,0.6,0.629,722.4,49.38,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,527.9273140677657,False,,
W2900342134-011,W2900342134,Plain Foams (non-gradient syntactic foam of similar density),"3M Scotchlite glass microballoons (plain, single-layer foam of similar density to the IFGSFs; type not stated)",,0.6,,1181.0,44.18,,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,284.09372708090933,False,,
