vf,density_g_cc,E_mt_mpa,E_ds_mpa,nu_mt,E_hs_lo_mpa,E_hs_hi_mpa
0.0,1.18,2999.9999999999995,2999.9999999999995,0.35,2999.9999999999995,2999.999999999999
0.05,1.144,3107.620337145958,3107.9505973949526,0.3446991667264128,3107.620337145958,3121.657152181739
0.1,1.108,3218.4020485885057,3219.6944446190655,0.33924595520475004,3218.4020485885057,3245.6454309810574
0.15,1.0719999999999998,3332.486954637827,3335.3232668371666,0.3336335273180589,3332.486954637827,3372.0334036310933
0.2,1.0359999999999998,3450.0254867566982,3454.927120709943,0.32785462974969515,3450.0254867566982,3500.892351500169
0.25,0.9999999999999999,3571.1773512080495,3578.5940248023358,0.3219015619845544,3571.1773512080495,3632.296405731335
0.3,0.9639999999999999,3696.112255038814,3706.4095714821674,0.3157661413046642,3696.112255038814,3766.3226910983635
0.35,0.9279999999999999,3825.0107013398747,3838.456521240765,0.30943966444452486,3825.0107013398747,3903.051478664791
0.4,0.8919999999999999,3958.064861619058,3974.8143799325962,0.3029128655283281,3958.064861619058,4042.566347880955
0.45,0.8559999999999999,4095.4795341540444,4115.558960128101,0.2961758698615246,4095.4795341540444,4184.954358806866
0.5,0.8199999999999998,4237.473198376684,4260.761928254537,0.28921814309209204,4237.473198376684,4330.306235206621
0.55,0.7839999999999998,4384.2791767060435,4410.490338628538,0.2820284351909998,4384.2791767060435,4478.716559323514
0.6,0.7479999999999998,4536.146916825539,4564.806156512037,0.2745947186252815,4536.146916825539,4630.283979214606
