record_id,paper_id,vf,measured_density_g_cc,modulus_mpa,particle_true_density_g_cc,true_density_source,E_HPMT_K46_mpa,E_HS_lo_K46_mpa,E_HS_hi_K46_mpa,E_HPMT_grade_mpa,E_HPDS_grade_mpa,E_HS_lo_grade_mpa,E_HS_hi_grade_mpa,rel_error_K46_pct,rel_error_grade_pct,inside_HS_grade
W3162570773-000,W3162570773,0.3,0.953,1170.0,0.6,stated,3696.112255038814,3696.112255038814,3766.3226910983635,3993.619919445348,4022.129599546847,3993.619919445348,4201.127029290369,215.90703034519777,241.33503585002975,False
W2900342134-009,W2900342134,0.6,0.6386000000000001,1930.0,0.27766666666666684,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3298.5255860235557,3299.51736103326,3298.5255860235557,3301.8225226036798,135.0335190065046,70.9080614519977,False
W2900342134-008,W2900342134,0.6,0.6357,1918.0,0.2728333333333335,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3261.838368761732,3262.710593392651,3261.838368761732,3264.7430604804154,136.50401026201976,70.06456562887028,False
W2900342134-007,W2900342134,0.6,0.6386000000000001,1826.0,0.27766666666666684,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3298.5255860235557,3299.51736103326,3298.5255860235557,3301.8225226036798,148.41987496306348,80.64214600348059,False
W2900342134-006,W2900342134,0.6,0.6415,1842.0,0.2825,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3334.9900404579153,3336.1189514145963,3334.9900404579153,3338.7360665540677,146.2620476018208,81.05266234842102,False
W2900342134-005,W2900342134,0.6,,585.7,,unknown,4536.146916825539,4536.146916825539,4630.283979214606,,,,,674.4829975799111,,False
W2900342134-002,W2900342134,0.6,0.622,795.0,0.25000000000000006,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3085.4480759018156,3085.9300221214994,3085.4480759018156,3087.062206135347,470.5845178396905,288.10667621406486,False
W2900342134-003,W2900342134,0.6,0.628,783.9,0.26000000000000006,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3163.3309882442054,3163.9559140436154,3163.3309882442054,3165.4204897378086,478.6639771431993,303.5375670677644,False
W2900342134-010,W2900342134,0.6,0.6402,1920.0,0.2803333333333334,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3318.671322907645,3319.736463489487,3318.671322907645,3322.208608891655,136.25765191799684,72.84746473477317,False
W2900342134-001,W2900342134,0.6,0.623,722.7,0.2516666666666667,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3098.497854796292,3099.001663138318,3098.497854796292,3100.184928976986,527.6666551578163,328.73915245555446,False
W2900342134-000,W2900342134,0.6,0.627,703.3,0.2583333333333334,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3150.4195010615113,3151.0182808770005,3150.4195010615113,3152.422356294757,544.9803663906638,347.9481730501225,False
W2900342134-004,W2900342134,0.6,0.629,722.4,0.2616666666666667,inferred from measured density,4536.146916825539,4536.146916825539,4630.283979214606,3176.2150815195546,3176.867315792884,3176.2150815195546,3178.3949645321904,527.9273140677657,339.67539888144444,False
W2900342134-011,W2900342134,0.6,,1181.0,,unknown,4536.146916825539,4536.146916825539,4630.283979214606,,,,,284.09372708090933,,False
