record_id,paper_id,particle_grade,vf,E_exp_mpa,E_hp_mt_mpa,E_hp_ds_mpa,E_hs_lo_mpa,E_hs_hi_mpa,rel_err_mt_pct,rel_err_ds_pct,inside_hs_band,particle_source,particle_true_density_used_g_cc,E_hp_mt_matched_mpa,E_hs_lo_matched_mpa,E_hs_hi_matched_mpa,rel_err_mt_matched_pct,inside_hs_band_matched,measured_density_g_cc
W3162570773-000,W3162570773,3M S60HS,0.3,1170.0,3696.112255038814,3706.4095714821674,3696.112255038814,3766.3226910983635,215.90703034519777,216.7871428617237,False,reported_true_density,0.6000000000000003,3993.619919445348,3993.619919445348,4201.127029290369,241.33503585002975,False,0.953
W2900342134-009,W2900342134,"3M Scotchlite S32/S38 glass microballoons, layer sequence S38-S32-S32-S38 (each layer 60 vol% microballoons)",0.6,1930.0,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,135.0335190065046,136.51845370528687,False,implied_from_measured_density,0.27766666666666684,3298.5255860235557,3298.5255860235557,3301.8225226036798,70.9080614519977,False,0.6386000000000001
W2900342134-008,W2900342134,"3M Scotchlite S32/S38 glass microballoons, layer sequence S32-S38-S38-S32 (each layer 60 vol% microballoons)",0.6,1918.0,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,136.50401026201976,137.99823548029389,False,implied_from_measured_density,0.27283333333333326,3261.838368761732,3261.838368761732,3264.7430604804154,70.06456562887028,False,0.6357
W2900342134-007,W2900342134,"3M Scotchlite K46/S22 glass microballoons, layer sequence K46-S22-S22-K46 (each layer 60 vol% microballoons)",0.6,1826.0,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,148.41987496306348,149.9893842558618,False,implied_from_measured_density,0.27766666666666684,3298.5255860235557,3298.5255860235557,3301.8225226036798,80.64214600348059,False,0.6386000000000001
W2900342134-006,W2900342134,"3M Scotchlite K46/S22 glass microballoons, layer sequence S22-K46-K46-S22 (each layer 60 vol% microballoons)",0.6,1842.0,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,146.2620476018208,147.8179238062995,False,implied_from_measured_density,0.28250000000000036,3334.9900404579153,3334.9900404579153,3338.7360665540677,81.05266234842102,False,0.6415
W2900342134-005,W2900342134,"3M Scotchlite glass microballoons (plain, single-layer foam of similar density to the IFGSFs; type not stated)",0.6,585.7,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,674.4829975799111,679.3761578473684,False,nominal_grade,0.45999999999999974,4536.146916825539,4536.146916825539,4630.283979214606,674.4829975799111,False,
W2900342134-002,W2900342134,"3M Scotchlite S32/S38 glass microballoons, layer sequence S32-S38-S38-S32 (each layer 60 vol% microballoons)",0.6,795.0,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,470.5845178396905,474.1894536493128,False,implied_from_measured_density,0.2500000000000004,3085.4480759018156,3085.4480759018156,3087.062206135347,288.10667621406486,False,0.622
W2900342134-003,W2900342134,"3M Scotchlite S32/S38 glass microballoons, layer sequence S38-S32-S32-S38 (each layer 60 vol% microballoons)",0.6,783.9,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,478.6639771431993,482.3199587335166,False,implied_from_measured_density,0.2600000000000004,3163.3309882442054,3163.3309882442054,3165.4204897378086,303.5375670677644,False,0.628
W2900342134-010,W2900342134,"3M Scotchlite K46/S22/S32/S38 glass microballoons, layer sequence K46-S38-S32-S22 (each layer 60 vol% microballoons)",0.6,1920.0,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,136.25765191799684,137.75032065166857,False,implied_from_measured_density,0.280333333333333,3318.671322907645,3318.671322907645,3322.208608891655,72.84746473477317,False,0.6402
W2900342134-001,W2900342134,"3M Scotchlite K46/S22 glass microballoons, layer sequence K46-S22-S22-K46 (each layer 60 vol% microballoons)",0.6,722.7,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,527.6666551578163,531.632234192893,False,implied_from_measured_density,0.2516666666666667,3098.497854796292,3098.497854796292,3100.184928976986,328.73915245555446,False,0.623
W2900342134-000,W2900342134,"3M Scotchlite K46/S22 glass microballoons, layer sequence S22-K46-K46-S22 (each layer 60 vol% microballoons)",0.6,703.3,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,544.9803663906638,549.0553329321822,False,implied_from_measured_density,0.25833333333333325,3150.4195010615113,3150.4195010615113,3152.422356294757,347.9481730501225,False,0.627
W2900342134-004,W2900342134,"3M Scotchlite K46/S22/S32/S38 glass microballoons, layer sequence K46-S38-S32-S22 (each layer 60 vol% microballoons)",0.6,722.4,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,527.9273140677657,531.8945399379896,False,implied_from_measured_density,0.26166666666666666,3176.2150815195546,3176.2150815195546,3178.3949645321904,339.67539888144444,False,0.629
W2900342134-011,W2900342134,"3M Scotchlite glass microballoons (plain, single-layer foam of similar density to the IFGSFs; type not stated)",0.6,1181.0,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,284.09372708090933,286.5204196877254,False,nominal_grade,0.45999999999999974,4536.146916825539,4536.146916825539,4630.283979214606,284.09372708090933,False,
