grade,eta,eta_in_window,vf,rho_g_cc,E_mt_mpa,E_hs_lo,E_hs_hi,meets_target
K1,0.9833190951051428,False,0.0,1.18,2999.9999999999995,2999.9999999999995,2999.9999999999995,False
K1,0.9833190951051428,False,0.01,1.1694499999999999,2980.7656443274423,2978.342796632547,2980.7656443274423,False
K1,0.9833190951051428,False,0.02,1.1588999999999998,2961.6487189492545,2956.8868867453552,2961.6487189492545,False
K1,0.9833190951051428,False,0.03,1.1483499999999998,2942.6480832324846,2935.6294209025277,2942.6480832324846,False
K1,0.9833190951051428,False,0.04,1.1377999999999997,2923.762610024863,2914.567602431387,2923.762610024863,False
K1,0.9833190951051428,False,0.05,1.12725,2904.9911854295688,2893.6986861939795,2904.9911854295688,False
K1,0.9833190951051428,False,0.06,1.1167,2886.33270858372,2873.019977392492,2886.33270858372,False
K1,0.9833190951051428,False,0.07,1.10615,2867.7860914405487,2852.528830407459,2867.7860914405487,False
K1,0.9833190951051428,False,0.08,1.0956,2849.3502585551178,2832.22264766774,2849.3502585551178,False
K1,0.9833190951051428,False,0.09,1.08505,2831.0241468735016,2812.0988785512386,2831.0241468735016,False
K1,0.9833190951051428,False,0.1,1.0745,2812.806705525375,2792.155018315372,2812.806705525375,False
K1,0.9833190951051428,False,0.11,1.06395,2794.6968956198634,2772.388607056375,2794.6968956198634,False
K1,0.9833190951051428,False,0.12,1.0534,2776.693690044627,2752.7972286965014,2776.693690044627,False
K1,0.9833190951051428,False,0.13,1.0428499999999998,2758.796073268046,2733.378509998284,2758.796073268046,False
K1,0.9833190951051428,False,0.14,1.0323,2741.003041144464,2714.130119604953,2741.003041144464,False
K1,0.9833190951051428,False,0.15,1.02175,2723.3136007223784,2695.0497671062562,2723.3136007223784,False
K1,0.9833190951051428,False,0.16,1.0111999999999999,2705.7267700555044,2676.1352021288512,2705.7267700555044,False
K1,0.9833190951051428,False,0.17,1.0006499999999998,2688.2415780166534,2657.3842134505335,2688.2415780166534,False
K1,0.9833190951051428,False,0.18,0.9901,2670.85706411431,2638.794628137555,2670.85706411431,False
K1,0.9833190951051428,False,0.19,0.9795499999999999,2653.5722783118713,2620.3643107043335,2653.5722783118713,False
K1,0.9833190951051428,False,0.2,0.9689999999999999,2636.3862808494396,2602.091162294875,2636.3862808494396,False
K1,0.9833190951051428,False,0.21,0.95845,2619.2981420681167,2583.973119885221,2619.2981420681167,False
K1,0.9833190951051428,False,0.22,0.9479,2602.3069422367034,2566.008155506326,2602.3069422367034,False
K1,0.9833190951051428,False,0.23,0.9373499999999999,2585.4117713807627,2548.1942754867227,2585.4117713807627,False
K1,0.9833190951051428,False,0.24,0.9267999999999998,2568.6117291139394,2530.5295197143832,2568.6117291139394,False
K1,0.9833190951051428,False,0.25,0.91625,2551.905924471486,2513.011960917201,2551.905924471486,False
K1,0.9833190951051428,False,0.26,0.9057,2535.2934757459197,2495.6397039615586,2535.2934757459197,False
K1,0.9833190951051428,False,0.27,0.8951499999999999,2518.773510324741,2478.4108851684146,2518.773510324741,False
K1,0.9833190951051428,False,0.28,0.8845999999999998,2502.345164530133,2461.3236716464075,2502.345164530133,False
K1,0.9833190951051428,False,0.29,0.8740499999999998,2486.0075834605955,2444.3762606414853,2486.0075834605955,False
K1,0.9833190951051428,False,0.3,0.8634999999999999,2469.7599208344177,2427.5668789025467,2469.7599208344177,False
K1,0.9833190951051428,False,0.31,0.8529499999999999,2453.6013388349397,2410.8937820626543,2453.6013388349397,False
K1,0.9833190951051428,False,0.32,0.8423999999999998,2437.5310079575324,2394.3552540353485,2437.5310079575324,False
K1,0.9833190951051428,False,0.33,0.8318499999999998,2421.548106858219,2377.949606425632,2421.548106858219,False
K1,0.9833190951051428,False,0.34,0.8212999999999997,2405.651822203878,2361.6751779551932,2405.651822203878,False
K1,0.9833190951051428,False,0.35,0.81075,2389.841348523956,2345.530333901463,2389.841348523956,False
K1,0.9833190951051428,False,0.36,0.8001999999999999,2374.115888063635,2329.513465550107,2374.115888063635,False
K1,0.9833190951051428,False,0.37,0.7896499999999999,2358.4746506383544,2313.6229896605587,2358.4746506383544,False
K1,0.9833190951051428,False,0.38,0.7790999999999998,2342.9168534896667,2297.8573479442434,2342.9168534896667,False
K1,0.9833190951051428,False,0.39,0.76855,2327.4417211423142,2282.215006555092,2327.4417211423142,False
K1,0.9833190951051428,False,0.4,0.7579999999999999,2312.0484852624913,2266.6944555920472,2312.0484852624913,False
K1,0.9833190951051428,False,0.41,0.74745,2296.736384517198,2251.2942086131698,2296.736384517198,False
K1,0.9833190951051428,False,0.42,0.7368999999999999,2281.504664434646,2236.012802161063,2281.504664434646,False
K1,0.9833190951051428,False,0.43,0.7263499999999999,2266.352577265602,2220.8487952992564,2266.352577265602,False
K1,0.9833190951051428,False,0.44,0.7158,2251.2793818456635,2205.8007691592793,2251.2793818456635,False
K1,0.9833190951051428,False,0.45,0.7052499999999999,2236.2843434583174,2190.8673264980844,2236.2843434583174,False
K1,0.9833190951051428,False,0.46,0.6946999999999999,2221.3667336987887,2176.047091265575,2221.3667336987887,False
K1,0.9833190951051428,False,0.47,0.6841499999999998,2206.525830338541,2161.3387081819105,2206.525830338541,False
K1,0.9833190951051428,False,0.48,0.6736,2191.760917190402,2146.740842324361,2191.760917190402,False
K1,0.9833190951051428,False,0.49,0.6630499999999999,2177.0712839742077,2132.252178723402,2177.0712839742077,False
K1,0.9833190951051428,False,0.5,0.6524999999999999,2162.4562261829133,2117.871421967839,2162.4562261829133,False
K1,0.9833190951051428,False,0.51,0.6419499999999998,2147.915044949081,2103.59729581867,2147.915044949081,False
K1,0.9833190951051428,False,0.52,0.6313999999999997,2133.447046911661,2089.4285428314743,2133.447046911661,False
K1,0.9833190951051428,False,0.53,0.6208499999999999,2119.0515440830018,2075.363923987078,2119.0515440830018,False
K1,0.9833190951051428,False,0.54,0.6102999999999998,2104.7278537159973,2061.4022183302745,2104.7278537159973,False
K1,0.9833190951051428,False,0.55,0.5997499999999998,2090.47529817129,2047.542222616373,2090.47529817129,False
