eta,vf,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo,E_hs_hi,nu_mt,particle_true_density,inside_hs_mt,inside_hs_ds,meets_target_mt,meets_target_ds
0.8,0.0,1.18,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.999999999998,0.35,1.2395199999999997,True,True,False,False
0.8,0.01,1.1805952,3046.375200570566,3046.5089547275356,3046.375200570566,3100.579196461666,0.34902690942112335,1.2395199999999997,True,True,False,False
0.8,0.02,1.1811904,3093.4130557349376,3093.952850596642,3093.4130557349376,3201.798714815537,0.348054833233708,1.2395199999999997,True,True,False,False
0.8,0.03,1.1817855999999998,3141.128411679494,3142.3537994838453,3141.128411679494,3303.6742510453273,0.34708364512374223,1.2395199999999997,True,True,False,False
0.8,0.04,1.1823807999999998,3189.5365541762944,3191.734482690777,3189.5365541762944,3406.2213800114714,0.3461132169443492,1.2395199999999997,True,True,False,False
0.8,0.05,1.182976,3238.6532250904797,3242.118165504705,3238.6532250904797,3509.455576890269,0.3451434186160503,1.2395199999999997,True,True,False,False
0.8,0.06,1.1835712,3288.494639634902,3293.528711951703,3288.494639634902,3613.392237387924,0.3441741180231078,1.2395199999999997,True,True,False,False
0.8,0.07,1.1841663999999998,3339.0775044117963,3345.990600169682,3339.0775044117963,3718.0466968436194,0.34320518090572527,1.2395199999999997,True,True,False,False
0.8,0.08,1.1847615999999999,3390.4190362837326,3399.5289377198783,3390.4190362837326,3823.4342483251503,0.34223647074787245,1.2395199999999997,True,True,False,False
0.8,0.09,1.1853568,3442.5369821187423,3454.169477410994,3442.5369821187423,3929.5701598112573,0.34126784866048016,1.2395199999999997,True,True,False,False
0.8,0.1,1.1859520000000001,3495.4496394572375,3509.93863327116,3495.4496394572375,4036.469690546281,0.34029917325974623,1.2395199999999997,True,True,False,True
0.8,0.11,1.1865472,3549.175878151414,3566.8634970379653,3549.175878151414,4144.148106645396,0.33933030054026597,1.2395199999999997,True,True,True,True
0.8,0.12,1.1871424,3603.7351630309754,3624.971854799902,3603.7351630309754,4252.620696021724,0.3383610837426916,1.2395199999999997,True,True,True,True
0.8,0.13,1.1877376,3659.147577652468,3684.2922039177615,3659.147577652468,4361.902782700774,0.33739137321560203,1.2395199999999997,True,True,True,True
0.8,0.14,1.1883328,3715.4338491932003,3744.853770251519,3715.4338491932003,4472.009740582084,0.33642101627124593,1.2395199999999997,True,True,True,True
0.8,0.15,1.1889279999999998,3772.615374554684,3806.6865256485808,3772.615374554684,4582.957006703252,0.3354498570347976,1.2395199999999997,True,True,True,True
0.8,0.16,1.1895231999999998,3830.71424774474,3869.8212059095654,3830.71424774474,4694.760094056895,0.33447773628674593,1.2395199999999997,True,True,True,True
0.8,0.17,1.1901183999999998,3889.7532886120275,3934.289328720584,3889.7532886120275,4807.434604007444,0.33350449129800597,1.2395199999999997,True,True,True,True
0.8,0.18,1.1907136,3949.756073011581,4000.1232120315763,3949.756073011581,4920.99623835095,0.3325299556573219,1.2395199999999997,True,True,True,True
0.8,0.19,1.1913087999999998,4010.746964485265,4067.3559924999167,4010.746964485265,5035.460811057993,0.33155395909049673,1.2395199999999997,True,True,True,True
0.8,0.2,1.1919039999999999,4072.75114754669,4136.021644599761,4072.75114754669,5150.844259736776,0.3305763272709558,1.2395199999999997,True,True,True,True
0.8,0.21,1.1924991999999999,4135.794662666257,4206.154999470199,4135.794662666257,5267.162656851216,0.3295968816211172,1.2395199999999997,True,True,True,True
0.8,0.22,1.1930943999999999,4199.904443058527,4277.791764267449,4199.904443058527,5384.432220726135,0.32861543910400476,1.2395199999999997,True,True,True,True
0.8,0.23,1.1936896,4265.108353381266,4350.96854146755,4265.108353381266,5502.669326369865,0.32763181200450253,1.2395199999999997,True,True,True,True
0.8,0.24,1.1942848,4331.435230463083,4425.7228488190085,4331.435230463083,5621.8905161426055,0.3266458076996077,1.2395199999999997,True,True,True,True
0.8,0.25,1.19488,4398.914926184869,4502.093138993175,4398.914926184869,5742.112510297118,0.3256572284169912,1.2395199999999997,True,True,True,True
0.8,0.26,1.1954752,4467.578352649182,4580.118819618333,4467.578352649182,5863.35221741699,0.3246658709811299,1.2395199999999997,True,True,True,True
0.8,0.27,1.1960704,4537.457529781245,4659.840273282484,4537.457529781245,5985.626744776153,0.32367152654621967,1.2395199999999997,True,True,True,True
