table,eta,vf,particle_true_density_g_cc,E_mt_mpa,E_ds_mpa,nu_mt,rho_g_cc,specific_E_mpa_cc_g,E_hs_lo_mpa,E_hs_hi_mpa,inside_hs_band,feasible,hs_feasible,grade,eta_in_requested_range
grid,0.8,0.0,1.2395199999999997,2999.9999999999995,2999.9999999999995,0.35,1.18,2542.372881355932,2999.9999999999995,2999.999999999998,True,False,False,,
grid,0.8,0.01,1.2395199999999997,3046.375200570566,3046.5089547275356,0.34902690942112335,1.1805952,2580.3723414855203,3046.375200570566,3100.579196461666,True,False,False,,
grid,0.8,0.02,1.2395199999999997,3093.4130557349376,3093.952850596642,0.348054833233708,1.1811904,2618.894511617211,3093.4130557349376,3201.798714815537,True,False,False,,
grid,0.8,0.03,1.2395199999999997,3141.128411679494,3142.3537994838453,0.34708364512374223,1.1817855999999998,2657.951164474753,3141.128411679494,3303.6742510453273,True,False,False,,
grid,0.8,0.04,1.2395199999999997,3189.5365541762944,3191.734482690777,0.3461132169443492,1.1823807999999998,2697.5544208568804,3189.5365541762944,3406.2213800114714,True,False,False,,
grid,0.8,0.05,1.2395199999999997,3238.6532250904797,3242.118165504705,0.3451434186160503,1.182976,2737.7167627157946,3238.6532250904797,3509.455576890269,True,False,True,,
grid,0.8,0.06,1.2395199999999997,3288.494639634902,3293.528711951703,0.3441741180231078,1.1835712,2778.451046827518,3288.494639634902,3613.392237387924,True,False,True,,
grid,0.8,0.07,1.2395199999999997,3339.0775044117963,3345.990600169682,0.34320518090572527,1.1841663999999998,2819.7705190856595,3339.0775044117963,3718.0466968436194,True,False,True,,
grid,0.8,0.08,1.2395199999999997,3390.4190362837326,3399.5289377198783,0.34223647074787245,1.1847615999999999,2861.688829452046,3390.4190362837326,3823.4342483251503,True,False,True,,
grid,0.8,0.09,1.2395199999999997,3442.5369821187423,3454.169477410994,0.34126784866048016,1.1853568,2904.220047599796,3442.5369821187423,3929.5701598112573,True,False,True,,
grid,0.8,0.1,1.2395199999999997,3495.4496394572375,3509.93863327116,0.34029917325974623,1.1859520000000001,2947.3786792865453,3495.4496394572375,4036.469690546281,True,False,True,,
grid,0.8,0.11,1.2395199999999997,3549.175878151414,3566.8634970379653,0.33933030054026597,1.1865472,2991.17968349798,3549.175878151414,4144.148106645396,True,True,True,,
grid,0.8,0.12,1.2395199999999997,3603.7351630309754,3624.971854799902,0.3383610837426916,1.1871424,3035.638490404332,3603.7351630309754,4252.620696021724,True,True,True,,
grid,0.8,0.13,1.2395199999999997,3659.147577652468,3684.2922039177615,0.33739137321560203,1.1877376,3080.7710201752207,3659.147577652468,4361.902782700774,True,True,True,,
grid,0.8,0.14,1.2395199999999997,3715.4338491932003,3744.853770251519,0.33642101627124593,1.1883328,3126.593702701129,3715.4338491932003,4472.009740582084,True,True,True,,
grid,0.8,0.15,1.2395199999999997,3772.615374554684,3806.6865256485808,0.3354498570347976,1.1889279999999998,3173.1234982729693,3772.615374554684,4582.957006703252,True,True,True,,
grid,0.8,0.16,1.2395199999999997,3830.71424774474,3869.8212059095654,0.33447773628674593,1.1895231999999998,3220.3779192744964,3830.71424774474,4694.760094056895,True,True,True,,
grid,0.8,0.17,1.2395199999999997,3889.7532886120275,3934.289328720584,0.33350449129800597,1.1901183999999998,3268.3750529460162,3889.7532886120275,4807.434604007444,True,True,True,,
grid,0.8,0.18,1.2395199999999997,3949.756073011581,4000.1232120315763,0.3325299556573219,1.1907136,3317.133585281617,3949.756073011581,4920.99623835095,True,True,True,,
grid,0.8,0.19,1.2395199999999997,4010.746964485265,4067.3559924999167,0.33155395909049673,1.1913087999999998,3366.672826126413,4010.746964485265,5035.460811057993,True,True,True,,
grid,0.8,0.2,1.2395199999999997,4072.75114754669,4136.021644599761,0.3305763272709558,1.1919039999999999,3417.012735544717,4072.75114754669,5150.844259736776,True,True,True,,
grid,0.8,0.21,1.2395199999999997,4135.794662666257,4206.154999470199,0.3295968816211172,1.1924991999999999,3468.1739515349423,4135.794662666257,5267.162656851216,True,True,True,,
grid,0.8,0.22,1.2395199999999997,4199.904443058527,4277.791764267449,0.32861543910400476,1.1930943999999999,3520.177819172169,4199.904443058527,5384.432220726135,True,True,True,,
grid,0.8,0.23,1.2395199999999997,4265.108353381266,4350.96854146755,0.32763181200450253,1.1936896,3573.0464212650145,4265.108353381266,5502.669326369865,True,True,True,,
grid,0.8,0.24,1.2395199999999997,4331.435230463083,4425.7228488190085,0.3266458076996077,1.1942848,3626.802610619413,4331.435230463083,5621.8905161426055,True,True,True,,
grid,0.8,0.25,1.2395199999999997,4398.914926184869,4502.093138993175,0.3256572284169912,1.19488,3681.470044008494,4398.914926184869,5742.112510297118,True,True,True,,
grid,0.8,0.26,1.2395199999999997,4467.578352649182,4580.118819618333,0.3246658709811299,1.1954752,3737.0732179548204,4467.578352649182,5863.35221741699,True,True,True,,
grid,0.8,0.27,1.2395199999999997,4537.457529781245,4659.840273282484,0.32367152654621967,1.1960704,3793.6375064387894,4537.457529781245,5985.626744776153,True,True,True,,
grid,0.8,0.28,1.2395199999999997,4608.585635515767,4741.298877899833,0.3226739803150208,1.1966655999999998,3851.1892006553608,4608.585635515767,6108.953408642288,True,True,True,,
grid,0.8,0.29,1.2395199999999997,4680.997058734993,4824.537027003076,0.32167301124272857,1.1972607999999998,3909.75555095013,4680.997058734993,6233.349744545637,True,True,True,,
