vf,E_mt_mpa,E_ds_mpa,E_hs_lo_mpa,E_hs_hi_mpa,nu_mt,rho_g_cc,specific_E_mpa_cc_g
0.0,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.999999999999,0.35,1.18,2542.372881355932
0.02,3042.6775067802027,3042.7309781604577,3042.6775067802027,3048.3874049575784,0.34789753081818525,1.1656,2610.3959392417664
0.04,3085.8477534874946,3086.0599784856286,3085.8477534874946,3097.141379464955,0.34577131179022913,1.1511999999999998,2680.5487782205482
0.06,3129.5193501858716,3129.99295050652,3129.5193501858716,3146.2661616905093,0.34362092776655373,1.1368,2752.91990691931
0.08,3173.7011087056503,3174.5358118299455,3173.7011087056503,3195.7660553504634,0.34144595386911425,1.1223999999999998,2827.6025558674723
0.1,3218.4020485885057,3219.6944446190655,3218.4020485885057,3245.6454309810574,0.33924595520475004,1.108,2904.694989700817
0.12,3263.63140324392,3265.4746920654657,3263.63140324392,3295.9087272404436,0.33702048656834194,1.0936,2984.3008442245064
0.14,3309.3986263259353,3311.8823547130623,3309.3986263259353,3346.5604522411595,0.3347690921353478,1.0792,3066.529490665248
0.16,3355.7133983394174,3358.923186761232,3355.7133983394174,3397.605184913979,0.33249130514327113,1.0647999999999997,3151.496429695171
0.18,3402.5856334855453,3406.602892103175,3402.5856334855453,3449.047576404046,0.3301866475615957,1.0504,3239.3237180936267
0.2,3450.0254867566982,3454.927120709943,3450.0254867566982,3500.892351500169,0.32785462974969515,1.0359999999999998,3330.140431232335
0.22,3498.0433612913785,3503.9014645083084,3498.0433612913785,3553.14431009817,0.3254947501022035,1.0215999999999998,3424.0831649289144
0.24,3546.649916000398,3553.5314534361623,3546.649916000398,3605.8083286993024,0.323106494681308,1.0071999999999999,3521.296580619935
0.26,3595.8560734760404,3603.8225509729705,3595.8560734760404,3658.889361944658,0.3206893368353958,0.9927999999999999,3621.9339982635383
0.28,3645.6730281965383,3654.780150711528,3645.6730281965383,3712.3924441866156,0.31824273680346404,0.9783999999999998,3726.1580419016136
0.3,3696.112255038814,3706.4095714821674,3696.112255038814,3766.3226910983635,0.3157661413046642,0.9639999999999999,3834.1413434012597
0.32,3747.1855181130586,3758.7160531992586,3747.1855181130586,3820.685301322589,0.31325898311232964,0.9495999999999998,3946.0673105655637
0.34,3798.9048799334837,3811.704752421844,3798.9048799334837,3875.4855581604143,0.31072068061179453,0.9351999999999998,4062.130966567028
0.36,3851.2827109401983,3865.3807382429395,3851.2827109401983,3930.7288313017943,0.3081506373412814,0.9207999999999998,4182.539868527583
0.38,3904.3316993880567,3919.7489875156443,3904.3316993880567,3986.4205785984973,0.305548241515096,0.9063999999999999,4307.515114064494
0.4,3958.0648616190583,3974.8143799325962,3958.0648616190583,4042.5663478809574,0.302912865528328,0.8919999999999999,4437.292445761276
0.42,4012.495552735744,4030.5816942293013,4012.495552735744,4099.171778820219,0.3002438654422166,0.8775999999999999,4572.1234648310665
0.44,4067.637477694024,4087.055602993621,4067.637477694024,4156.242604836332,0.2975405804492935,0.8632,4712.276966744699
0.46,4123.504702834763,4144.240667534492,4123.504702834763,4213.784655054521,0.29480233231736996,0.8487999999999999,4858.0404133303055
0.48,4180.111667874478,4202.1413340741965,4180.111667874478,4271.80385631053,0.2920284248113873,0.8343999999999999,5009.72155785532
0.5,4237.473198376684,4260.761928254537,4237.473198376684,4330.306235206621,0.289218143092092,0.8199999999999998,5167.650241922786
0.52,4295.604518726447,4320.106650015234,4295.604518726447,4389.297920219694,0.2863707530904482,0.8055999999999998,5332.180385708104
0.54,4354.521265632032,4380.179569644782,4354.521265632032,4448.785143863099,0.283485500856635,0.7911999999999998,5503.692196198222
0.56,4414.239502178804,4440.984621684101,4414.239502178804,4508.774244903717,0.280561611882417,0.7767999999999997,5682.594621754384
0.58,4474.775732461872,4502.525600801454,4474.775732461872,4569.271670635988,0.27759829039560857,0.7623999999999999,5869.328085600569
0.6,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,0.2745947186252815,0.7479999999999998,6064.367535863022
0.62,4598.370487739041,4627.829787684817,4598.370487739041,4691.817842047609,0.2715500560362914,0.7335999999999998,6268.225855696623
0.64,4661.464366339879,4691.599838501308,4661.464366339879,4753.8800462517565,0.268463438531617,0.7191999999999998,6481.457684009844
