E_required_mpa,min_rho_g_cc,eta,vf,E_achieved_mpa
1000.0,0.605086348,0.97,0.6,2860.4246910540733
1025.0,0.605086348,0.97,0.6,2860.4246910540733
1050.0,0.605086348,0.97,0.6,2860.4246910540733
1075.0,0.605086348,0.97,0.6,2860.4246910540733
1100.0,0.605086348,0.97,0.6,2860.4246910540733
1125.0,0.605086348,0.97,0.6,2860.4246910540733
1150.0,0.605086348,0.97,0.6,2860.4246910540733
1175.0,0.605086348,0.97,0.6,2860.4246910540733
1200.0,0.605086348,0.97,0.6,2860.4246910540733
1225.0,0.605086348,0.97,0.6,2860.4246910540733
1250.0,0.605086348,0.97,0.6,2860.4246910540733
1275.0,0.605086348,0.97,0.6,2860.4246910540733
1300.0,0.605086348,0.97,0.6,2860.4246910540733
1325.0,0.605086348,0.97,0.6,2860.4246910540733
1350.0,0.605086348,0.97,0.6,2860.4246910540733
1375.0,0.605086348,0.97,0.6,2860.4246910540733
1400.0,0.605086348,0.97,0.6,2860.4246910540733
1425.0,0.605086348,0.97,0.6,2860.4246910540733
1450.0,0.605086348,0.97,0.6,2860.4246910540733
1475.0,0.605086348,0.97,0.6,2860.4246910540733
1500.0,0.605086348,0.97,0.6,2860.4246910540733
1525.0,0.605086348,0.97,0.6,2860.4246910540733
1550.0,0.605086348,0.97,0.6,2860.4246910540733
1575.0,0.605086348,0.97,0.6,2860.4246910540733
1600.0,0.605086348,0.97,0.6,2860.4246910540733
1625.0,0.605086348,0.97,0.6,2860.4246910540733
1650.0,0.605086348,0.97,0.6,2860.4246910540733
1675.0,0.605086348,0.97,0.6,2860.4246910540733
1700.0,0.605086348,0.97,0.6,2860.4246910540733
1725.0,0.605086348,0.97,0.6,2860.4246910540733
1750.0,0.605086348,0.97,0.6,2860.4246910540733
1775.0,0.605086348,0.97,0.6,2860.4246910540733
1800.0,0.605086348,0.97,0.6,2860.4246910540733
1825.0,0.605086348,0.97,0.6,2860.4246910540733
1850.0,0.605086348,0.97,0.6,2860.4246910540733
1875.0,0.605086348,0.97,0.6,2860.4246910540733
1900.0,0.605086348,0.97,0.6,2860.4246910540733
1925.0,0.605086348,0.97,0.6,2860.4246910540733
1950.0,0.605086348,0.97,0.6,2860.4246910540733
1975.0,0.605086348,0.97,0.6,2860.4246910540733
2000.0,0.605086348,0.97,0.6,2860.4246910540733
2025.0,0.605086348,0.97,0.6,2860.4246910540733
2050.0,0.605086348,0.97,0.6,2860.4246910540733
2075.0,0.605086348,0.97,0.6,2860.4246910540733
2100.0,0.605086348,0.97,0.6,2860.4246910540733
2125.0,0.605086348,0.97,0.6,2860.4246910540733
2150.0,0.605086348,0.97,0.6,2860.4246910540733
2175.0,0.605086348,0.97,0.6,2860.4246910540733
2200.0,0.605086348,0.97,0.6,2860.4246910540733
2225.0,0.605086348,0.97,0.6,2860.4246910540733
2250.0,0.605086348,0.97,0.6,2860.4246910540733
2275.0,0.605086348,0.97,0.6,2860.4246910540733
2300.0,0.605086348,0.97,0.6,2860.4246910540733
2325.0,0.605086348,0.97,0.6,2860.4246910540733
2350.0,0.605086348,0.97,0.6,2860.4246910540733
2375.0,0.605086348,0.97,0.6,2860.4246910540733
2400.0,0.605086348,0.97,0.6,2860.4246910540733
2425.0,0.605086348,0.97,0.6,2860.4246910540733
2450.0,0.605086348,0.97,0.6,2860.4246910540733
2475.0,0.605086348,0.97,0.6,2860.4246910540733
2500.0,0.605086348,0.97,0.6,2860.4246910540733
2525.0,0.605086348,0.97,0.6,2860.4246910540733
2550.0,0.605086348,0.97,0.6,2860.4246910540733
2575.0,0.605086348,0.97,0.6,2860.4246910540733
2600.0,0.605086348,0.97,0.6,2860.4246910540733
2625.0,0.605086348,0.97,0.6,2860.4246910540733
2650.0,0.605086348,0.97,0.6,2860.4246910540733
2675.0,0.605086348,0.97,0.6,2860.4246910540733
2700.0,0.605086348,0.97,0.6,2860.4246910540733
2725.0,0.605086348,0.97,0.6,2860.4246910540733
2750.0,0.605086348,0.97,0.6,2860.4246910540733
2775.0,0.605086348,0.97,0.6,2860.4246910540733
2800.0,0.605086348,0.97,0.6,2860.4246910540733
2825.0,0.605086348,0.97,0.6,2860.4246910540733
2850.0,0.605086348,0.97,0.6,2860.4246910540733
2875.0,0.6158131410624998,0.9675,0.6,3004.0866220233547
2900.0,0.6158131410624998,0.9675,0.6,3004.0866220233547
2925.0,0.6158131410624998,0.9675,0.6,3004.0866220233547
2950.0,0.6158131410624998,0.9675,0.6,3004.0866220233547
2975.0,0.6158131410624998,0.9675,0.6,3004.0866220233547
3000.0,0.6158131410624998,0.9675,0.6,3004.0866220233547
