eta,vf,rho_g_cc,particle_true_density_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo_mpa,E_hs_hi_mpa,nu_mt,specific_E
0.8,0.0,1.18,1.2395199999999997,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.999999999998,0.35,2542.372881355932
0.8,0.005,1.1802975999999998,1.2395199999999997,3023.1056796130524,3023.138969862234,3023.1056796130524,3050.2105443380055,0.3495133200859493,2561.3079952149806
0.8,0.01,1.1805952,1.2395199999999997,3046.375200570566,3046.5089547275356,3046.375200570566,3100.579196461666,0.34902690942112335,2580.3723414855203
0.8,0.015,1.1808927999999999,1.2395199999999997,3069.810378556162,3070.112666204383,3069.810378556162,3151.1079313041178,0.3485407523812939,2599.5673600145265
0.8,0.02,1.1811904,1.2395199999999997,3093.4130557349376,3093.952850596642,3093.4130557349376,3201.798714815537,0.348054833233708,2618.894511617211
0.8,0.025,1.1814879999999999,1.2395199999999997,3117.185101241621,3118.032289346768,3117.185101241621,3252.653504685855,0.3475691361341158,2638.355278463786
0.8,0.03,1.1817855999999998,1.2395199999999997,3141.128411679494,3142.3537994838453,3141.128411679494,3303.6742510453273,0.34708364512374223,2657.951164474753
0.8,0.035,1.1820832,1.2395199999999997,3165.2449116304347,3166.920234076506,3165.2449116304347,3354.862897144061,0.3465983441262011,2677.6836957250007
0.8,0.04,1.1823807999999998,1.2395199999999997,3189.5365541762944,3191.734482690777,3189.5365541762944,3406.2213800114714,0.3461132169443492,2697.5544208568804
0.8,0.045,1.1826783999999997,1.2395199999999997,3214.00532143198,3216.799471852877,3214.00532143198,3457.7516310965975,0.3456282472570793,2717.564911502553
0.8,0.05,1.182976,1.2395199999999997,3238.6532250904797,3242.118165504705,3238.6532250904797,3509.455576890269,0.3451434186160503,2737.7167627157946
0.8,0.055,1.1832736,1.2395199999999997,3263.482306980198,3267.6935654581057,3263.482306980198,3561.3351395299273,0.34465871444235285,2758.011593413559
0.8,0.06,1.1835712,1.2395199999999997,3288.494639634902,3293.528711951703,3288.494639634902,3613.392237387924,0.3441741180231078,2778.451046827518
0.8,0.065,1.1838688,1.2395199999999997,3313.6923268766122,3319.6266840532535,3313.6923268766122,3665.628785644141,0.3436896125079973,2799.0367909658676
0.8,0.07,1.1841663999999998,1.2395199999999997,3339.0775044117963,3345.990600169682,3339.0775044117963,3718.0466968436194,0.34320518090572527,2819.7705190856595
0.8,0.075,1.184464,1.2395199999999997,3364.652340441205,3372.6236185377916,3364.652340441205,3770.6478814399584,0.3427208060804049,2840.653950175949
0.8,0.08,1.1847615999999999,1.2395199999999997,3390.4190362837326,3399.5289377198783,3390.4190362837326,3823.4342483251503,0.34223647074787245,2861.688829452046
0.8,0.085,1.1850592,1.2395199999999997,3416.3798270146726,3426.7097971042976,3416.3798270146726,3876.407705346497,0.3417521574719253,2882.876928861168
0.8,0.09,1.1853568,1.2395199999999997,3442.5369821187423,3454.169477410994,3442.5369821187423,3929.5701598112573,0.34126784866048016,2904.220047599796
0.8,0.095,1.1856544,1.2395199999999997,3468.892806158316,3481.9113011709064,3468.892806158316,3982.923518979564,0.34078352656165156,2925.720012643074
0.8,0.1,1.1859520000000001,1.2395199999999997,3495.4496394572375,3509.93863327116,3495.4496394572375,4036.469690546281,0.34029917325974623,2947.3786792865453
0.8,0.105,1.1862496,1.2395199999999997,3522.209858800669,3538.2548815050295,3522.209858800669,4090.210583112235,0.33981477067117355,2969.197931700604
0.8,0.11,1.1865472,1.2395199999999997,3549.175878151414,3566.8634970379653,3549.175878151414,4144.148106645396,0.33933030054026597,2991.17968349798
0.8,0.115,1.1868448,1.2395199999999997,3576.35014938313,3595.76797495632,3576.35014938313,4198.284172932528,0.3388457444350117,3013.325878314612
0.8,0.12,1.1871424,1.2395199999999997,3603.7351630309754,3624.971854799902,3603.7351630309754,4252.620696021724,0.3383610837426916,3035.638490404332
0.8,0.125,1.18744,1.2395199999999997,3631.3334490600896,3654.478721099265,3631.3334490600896,4307.159592656349,0.3378762996654227,3058.119525247667
0.8,0.13,1.1877376,1.2395199999999997,3659.147577652468,3684.2922039177615,3659.147577652468,4361.902782700774,0.33739137321560203,3080.7710201752207
0.8,0.135,1.1880351999999998,1.2395199999999997,3687.1801600127114,3714.415979398347,3687.1801600127114,4416.852189558356,0.3369062852112493,3103.595045006
0.8,0.14,1.1883328,1.2395199999999997,3715.4338491932003,3744.853770251519,3715.4338491932003,4472.009740582084,0.33642101627124593,3126.593702701129
0.8,0.145,1.1886303999999999,1.2395199999999997,3743.9113409392307,3775.6093464401265,3743.9113409392307,4527.3773674782,0.33593554681046595,3149.769130033382
0.8,0.15,1.1889279999999998,1.2395199999999997,3772.615374554684,3806.6865256485808,3772.615374554684,4582.957006703252,0.3354498570347976,3173.1234982729693
0.8,0.155,1.1892255999999999,1.2395199999999997,3801.54873378881,3838.0891738559226,3801.54873378881,4638.750599854917,0.3349639269360504,3196.659013890056
0.8,0.16,1.1895231999999998,1.2395199999999997,3830.71424774474,3869.8212059095654,3830.71424774474,4694.760094056895,0.33447773628674593,3220.3779192744964
0.8,0.165,1.1898208,1.2395199999999997,3860.1147918103356,3901.886586096794,3860.1147918103356,4750.9874423382325,0.3339912646347873,3244.282493473249
0.8,0.17,1.1901183999999998,1.2395199999999997,3889.7532886120275,3934.289328720584,3889.7532886120275,4807.434604007444,0.33350449129800597,3268.3750529460162
0.8,0.17500000000000002,1.190416,1.2395199999999997,3919.6327089923116,3967.033498679713,3919.6327089923116,4864.1035450216195,0.33301739535858027,3292.657952339612
0.8,0.18,1.1907136,1.2395199999999997,3949.756073011581,4000.1232120315763,3949.756073011581,4920.99623835095,0.3325299556573219,3317.133585281617
0.8,0.185,1.1910111999999997,1.2395199999999997,3980.1264509750185,4033.562636567745,3980.1264509750185,4978.114664338854,0.3320421507878288,3341.804385193875
0.8,0.19,1.1913087999999998,1.2395199999999997,4010.746964485265,4067.3559924999167,4010.746964485265,5035.460811057993,0.33155395909049673,3366.672826126413
0.8,0.195,1.1916063999999997,1.2395199999999997,4041.6207875216405,4101.507552954128,4041.6207875216405,5093.036674662535,0.33106535864638864,3391.7414236123955
0.8,0.2,1.1919039999999999,1.2395199999999997,4072.75114754669,4136.021644599761,4072.75114754669,5150.844259736776,0.3305763272709558,3417.012735544717
0.8,0.20500000000000002,1.1922015999999998,1.2395199999999997,4104.141326640882,4170.902648250717,4104.141326640882,5208.885579640502,0.33008684250760634,3442.4893630749048
0.8,0.21,1.1924991999999999,1.2395199999999997,4135.794662666257,4206.154999470199,4135.794662666257,5267.162656851216,0.3295968816211172,3468.1739515349423
0.8,0.215,1.1927968,1.2395199999999997,4167.714550459968,4241.783189179031,4167.714550459968,5325.677523303569,0.3291064215908841,3494.069191382781
0.8,0.22,1.1930943999999999,1.2395199999999997,4199.904443058527,4277.791764267449,4199.904443058527,5384.432220726135,0.32861543910400476,3520.177819172169
0.8,0.225,1.193392,1.2395199999999997,4232.367852953737,4314.185328137545,4232.367852953737,5443.428800975779,0.32812391054819084,3546.502618547583
0.8,0.23,1.1936896,1.2395199999999997,4265.108353381266,4350.96854146755,4265.108353381266,5502.669326369865,0.32763181200450253,3573.0464212650145
0.8,0.23500000000000001,1.1939872,1.2395199999999997,4298.1295796428385,4388.146122728733,4298.1295796428385,5562.155870016433,0.3271391192399,3599.8121082393836
0.8,0.24,1.1942848,1.2395199999999997,4331.435230463083,4425.7228488190085,4331.435230463083,5621.8905161426055,0.3266458076996077,3626.802610619413
0.8,0.245,1.1945823999999998,1.2395199999999997,4365.0290693821,4463.70355569395,4365.0290693821,5681.875360421398,0.3261518524992841,3654.020910890785
0.8,0.25,1.19488,1.2395199999999997,4398.914926184869,4502.093138993175,4398.914926184869,5742.112510297118,0.3256572284169912,3681.470044008494
0.8,0.255,1.1951776,1.2395199999999997,4433.096698368588,4540.8965546691525,4433.096698368588,5802.604085309532,0.32516190988495774,3709.1530985592326
0.8,0.26,1.1954752,1.2395199999999997,4467.578352649182,4580.118819618333,4467.578352649182,5863.35221741699,0.3246658709811299,3737.0732179548204
0.8,0.265,1.1957727999999999,1.2395199999999997,4502.363926508187,4619.765012275742,4502.363926508187,5924.359051318677,0.3241690854205018,3765.233601657596
0.8,0.27,1.1960704,1.2395199999999997,4537.457529781245,4659.840273282484,4537.457529781245,5985.626744776153,0.32367152654621967,3793.6375064387894
0.8,0.275,1.1963679999999999,1.2395199999999997,4572.86334628958,4700.349806165859,4572.86334628958,6047.157468934364,0.3231731673204525,3822.288247670934
0.8,0.28,1.1966655999999998,1.2395199999999997,4608.585635515767,4741.298877899833,4608.585635515767,6108.953408642288,0.3226739803150208,3851.1892006553608
0.8,0.28500000000000003,1.1969632,1.2395199999999997,4644.628734325245,4782.692819568388,4644.628734325245,6171.01676277332,0.32217393770177716,3880.3438019859304
0.8,0.29,1.1972607999999998,1.2395199999999997,4680.997058734993,4824.537027003076,4680.997058734993,6233.349744545637,0.32167301124272857,3909.75555095013
0.8,0.295,1.1975584,1.2395199999999997,4717.695105730923,4866.836961421459,4717.695105730923,6295.954581842636,0.3211711722798946,3939.4280109687543
0.8,0.3,1.1978559999999998,1.2395199999999997,4754.727455135567,4909.598150066266,4754.727455135567,6358.833517533619,0.3206683917248908,3969.3648110754275
0.8,0.305,1.1981536,1.2395199999999997,4792.098771527613,4952.8261868305935,4792.098771527613,6421.988809794824,0.320164640048229,3999.569647437201
0.8,0.31,1.1984511999999998,1.2395199999999997,4829.813806215114,4996.526732851231,4829.813806215114,6485.422732431063,0.3196598872683259,4030.0462849176624
0.8,0.315,1.1987488,1.2395199999999997,4867.877399263984,5040.705517292529,4867.877399263984,6549.137575197916,0.31915410294020913,4060.7985586838417
0.8,0.32,1.1990463999999998,1.2395199999999997,4906.294481583699,5085.368337849149,4906.294481583699,6613.1356441248845,0.3186472561439123,4091.830375858432
0.8,0.325,1.199344,1.2395199999999997,4945.070077072051,5130.5210614216285,4945.070077072051,6677.419261839315,0.3181393154725464,4123.145717218789
0.8,0.33,1.1996415999999999,1.2395199999999997,4984.209304820924,5176.169624751089,4984.209304820924,6741.990767891553,0.31763024902003945,4154.748638944269
0.8,0.335,1.1999391999999998,1.2395199999999997,5023.717381385118,5222.320035052782,5023.717381385118,6806.852519081218,0.31712002436853126,4186.643274413503
0.8,0.34,1.2002367999999999,1.2395199999999997,5063.599623116367,5268.978370648251,5063.599623116367,6872.006889784889,0.31660860857541234,4218.833836053325
0.8,0.34500000000000003,1.2005344,1.2395199999999997,5103.861448564684,5316.150781595878,5103.861448564684,6937.456272285183,0.31609596815999547,4251.324617241025
0.8,0.35000000000000003,1.200832,1.2395199999999997,5144.5083809494035,5363.843490233144,5144.5083809494035,7003.203077101552,0.31558206908980607,4284.119994261815
0.8,0.355,1.2011295999999998,1.2395199999999997,5185.546050702166,5412.062791985732,5185.546050702166,7069.249733322678,0.31506687676648026,4317.224428323278
0.8,0.36,1.2014272,1.2395199999999997,5226.9801980844595,5460.815055843867,5226.9801980844595,7135.598688940857,0.31455035601125464,4350.642467628883
0.8,0.365,1.2017247999999998,1.2395199999999997,5268.816675882121,5510.106725014342,5268.816675882121,7202.252411188269,0.31403247105003645,4384.378749512469
0.8,0.37,1.2020223999999997,1.2395199999999997,5311.061452179562,5559.944317536881,5311.061452179562,7269.213386875405,0.31351318549803764,4418.43800263586
0.8,0.375,1.2023199999999998,1.2395199999999997,5353.720613216448,5610.334426894162,5353.720613216448,7336.484122731718,0.31299246234395817,4452.825049251821
0.8,0.38,1.2026176,1.2395199999999997,5396.800366329683,5661.28372261781,5396.800366329683,7404.06714574863,0.3124702639337031,4487.544807534568
0.8,0.385,1.2029151999999999,1.2395199999999997,5440.307042983739,5712.798950890007,5440.307042983739,7471.965003524978,0.31194655195361687,4522.602293980273
0.8,0.39,1.2032128,1.2395199999999997,5484.2471018923725,5764.886935081121,5484.2471018923725,7540.180264615155,0.311421287413217,4558.002625879954
0.8,0.395,1.2035103999999999,1.2395199999999997,5528.627132235035,5817.554576442104,5528.627132235035,7608.715518879847,0.31089443062741184,4593.751023867376
0.8,0.4,1.203808,1.2395199999999997,5573.453856971279,5870.808854643128,5573.453856971279,7677.573377839728,0.31036594119817995,4629.852814544577
0.8,0.405,1.2041055999999999,1.2395199999999997,5618.734136256719,5924.656828330328,5618.734136256719,7746.756475032033,0.3098357779956958,4666.313433187853
0.8,0.41000000000000003,1.2044031999999998,1.2395199999999997,5664.474970964134,5979.105635710387,5664.474970964134,7816.267466370287,0.3093038991388797,4703.138426537006
0.8,0.41500000000000004,1.2047008,1.2395199999999997,5710.683506313564,6034.162495114021,5710.683506313564,7886.109030507188,0.30877026197535146,4740.333455670955
0.8,0.42,1.2049984,1.2395199999999997,5757.367035615346,6089.834705552152,5757.367035615346,7956.283869200827,0.30823482306076583,4777.9042989728005
0.8,0.425,1.2052959999999997,1.2395199999999997,5804.533004130162,6146.129647264384,5804.533004130162,8026.794707684405,0.3076975381375087,4815.856855187575
0.8,0.43,1.2055935999999998,1.2395199999999997,5852.189013050455,6203.054782223872,5852.189013050455,8097.644295039438,0.3071583621127271,4854.19714657614
0.8,0.435,1.2058911999999997,1.2395199999999997,5900.34282360766,6260.617654704776,5900.34282360766,8168.835404572769,0.3066172490356735,4892.931322168751
0.8,0.44,1.2061888,1.2395199999999997,5949.0023613098865,6318.825891830048,5949.0023613098865,8240.370834197263,0.3060741520743336,4932.065661121946
0.8,0.445,1.2064863999999997,1.2395199999999997,5998.175720314987,6377.687204025423,5998.175720314987,8312.253406816586,0.30552902349131367,4971.606576182698
0.8,0.45,1.2067839999999999,1.2395199999999997,6047.871167943981,6437.209385540531,6047.871167943981,8384.485970713917,0.3049818146189612,5011.560617263721
0.8,0.455,1.2070815999999998,1.2395199999999997,6098.097149340221,6497.4003149383425,6098.097149340221,8457.071399944964,0.30443247583368543,5051.93447513426
0.8,0.46,1.2073791999999999,1.2395199999999997,6148.862292279745,6558.2679555734885,6148.862292279745,8530.012594735195,0.3038809565294514,5092.73498523061
0.8,0.465,1.2076767999999998,1.2395199999999997,6200.17541213863,6619.820356058985,6200.17541213863,8603.312481881632,0.3033272050904146,5133.969131591028
0.8,0.47000000000000003,1.2079744,1.2395199999999997,6252.045517023292,6682.065650706341,6252.045517023292,8676.974015159052,0.30277116886266225,5175.644050919698
0.8,0.47500000000000003,1.2082719999999998,1.2395199999999997,6304.481813070067,6745.0120599549655,6304.481813070067,8751.000175731075,0.3022127941250289,5217.7670367848195
0.8,0.48,1.2085696,1.2395199999999997,6357.493709920587,6808.6678908709555,6357.493709920587,8825.393972565913,0.3016520260589487,5260.345543955919
0.8,0.485,1.2088671999999998,1.2395199999999997,6411.0908263798165,6873.0415374878285,6411.0908263798165,8900.158442857204,0.30108880871730753,5303.387192885883
0.8,0.49,1.2091648,1.2395199999999997,6465.282996263859,6938.141481227802,6465.282996263859,8975.296652449859,0.3005230849922558,5346.899774343298
0.8,0.495,1.2094623999999998,1.2395199999999997,6520.080274445052,7003.97629128565,6520.080274445052,9050.811696271172,0.2999547965819406,5390.891254201084
0.8,0.5,1.2097599999999997,1.2395199999999997,6575.492943102139,7070.554624997056,6575.492943102139,9126.70669876731,0.29938388395611454,5435.369778387565
0.8,0.505,1.2100575999999998,1.2395199999999997,6631.531518183653,7137.885228190994,6631.531518183653,9202.984814345231,0.29881028632057727,5480.343678006447
0.8,0.51,1.2103552,1.2395199999999997,6688.206756093104,7205.976935525551,6688.206756093104,9279.649227820339,0.29823394158040123,5525.821474632491
0.8,0.515,1.2106527999999996,1.2395199999999997,6745.529660604838,7274.838670775095,6745.529660604838,9356.703154869803,0.29765478630189485,5571.811885789914
0.8,0.52,1.2109503999999998,1.2395199999999997,6803.511490019955,7344.479447200109,6803.511490019955,9434.149842491943,0.2970727556732493,5618.323830620938
0.8,0.525,1.2112479999999999,1.2395199999999997,6862.163764572075,7414.9083677729295,6862.163764572075,9511.992569471497,0.2964877834638178,5665.366435752278
0.8,0.53,1.2115456,1.2395199999999997,6921.4982740930955,7486.134625455665,6921.4982740930955,9590.234646851277,0.29589980198196975,5712.9490413675685
0.8,0.535,1.2118432,1.2395199999999997,6981.527085949793,7558.167503443857,6981.527085949793,9668.879418410053,0.2953087420314611,5761.081207494331
0.8,0.54,1.2121407999999998,1.2395199999999997,7042.262553262378,7631.016375389729,7042.262553262378,9747.930261147008,0.2947145328662608,5809.772720514299
0.8,0.545,1.2124384,1.2395199999999997,7103.717323416817,7704.690705604779,7103.717323416817,9827.390585772864,0.29411710214376596,5859.033599906451
0.8,0.55,1.2127359999999998,1.2395199999999997,7165.904346883252,7779.200049241204,7165.904346883252,9907.263837207762,0.2935163758763414,5908.87410523251
0.8,0.555,1.2130335999999997,1.2395199999999997,7228.836886353402,7854.5540524496555,7228.836886353402,9987.553495086182,0.29291227838111084,5959.304743375125
0.8,0.56,1.2133311999999998,1.2395199999999997,7292.528526210518,7930.76245251586,7292.528526210518,10068.263074268942,0.2923047322279255,6010.336276039485
